
> english-learning-server@1.0.0 start
> node index.js

MySQL 数据库和表结构初始化完成
✅ 服务器已启动，监听端口: 3000
📡 API地址: https://localhost:3000/api
💾 数据库: MySQL
2026-08-03T13:21:35.429Z - GET /api/speech/tts?text=teacher&speed=3
2026-08-03T13:23:27.428Z - GET /api/settings?userId=76
2026-08-03T13:23:31.897Z - POST /api/adventure-course/level/scene-002-014/submit
2026-08-03T13:23:32.684Z - GET /api/achievement?userId=76
2026-08-03T13:23:32.773Z - GET /api/settings?userId=76
2026-08-03T13:23:33.831Z - GET /api/adventure-course/module/scene-002/levels
2026-08-03T13:23:43.602Z - GET /api/adventure-course/level/scene-002-015/questions
2026-08-03T13:23:44.250Z - GET /api/settings?userId=76
2026-08-03T13:23:44.818Z - GET /api/achievement?userId=76
2026-08-03T13:23:44.892Z - GET /api/achievement/rewards?userId=76
2026-08-03T13:23:44.893Z - GET /api/settings?userId=76
2026-08-03T13:24:41.901Z - GET /api/speech/tts?text=decide&speed=3
2026-08-03T13:24:53.880Z - GET /api/speech/tts?text=less&speed=3
2026-08-03T13:25:01.497Z - GET /api/speech/tts?text=decision&speed=3
2026-08-03T13:25:10.824Z - POST /api/adventure-course/level/scene-002-015/submit
2026-08-03T13:25:11.593Z - GET /api/achievement?userId=76
2026-08-03T13:25:11.689Z - GET /api/settings?userId=76
2026-08-03T13:25:12.900Z - GET /api/adventure-course/module/scene-002/levels
2026-08-03T13:26:06.537Z - GET /api/adventure-course/modules
2026-08-03T13:26:06.554Z - GET /api/user/stats?userId=76
2026-08-03T13:26:06.604Z - GET /api/settings?userId=76
2026-08-03T13:26:06.606Z - GET /api/user/streak?userId=76
2026-08-03T13:26:06.803Z - GET /api/settings?userId=76
2026-08-03T13:26:06.972Z - GET /api/word/status?userId=76
2026-08-03T13:26:16.649Z - GET /api/adventure-course/modules
2026-08-03T13:26:16.676Z - GET /api/settings?userId=76
2026-08-03T13:26:16.678Z - GET /api/user/stats?userId=76
2026-08-03T13:26:16.709Z - GET /api/user/streak?userId=76
2026-08-03T13:26:16.818Z - GET /api/settings?userId=76
2026-08-03T13:27:52.312Z - GET /api/adventure-course/modules
2026-08-03T13:27:52.729Z - GET /api/adventure-course/modules
2026-08-03T13:27:52.850Z - GET /api/user/stats?userId=76
2026-08-03T13:27:52.851Z - GET /api/user/streak?userId=76
2026-08-03T13:27:52.870Z - GET /api/settings?userId=76
2026-08-03T13:27:52.952Z - GET /api/word/status?userId=76
2026-08-03T13:27:54.382Z - GET /api/settings?userId=76
2026-08-03T13:27:54.617Z - GET /api/words/count
2026-08-03T13:27:54.620Z - GET /api/words/daily?limit=20&progressive=1
2026-08-03T13:27:54.649Z - GET /api/word/status?userId=76
2026-08-03T13:27:54.650Z - GET /api/words/wrong?limit=1
2026-08-03T13:27:54.765Z - GET /api/achievement?userId=76
2026-08-03T13:27:54.789Z - GET /api/settings?userId=76
2026-08-03T13:27:54.814Z - GET /api/user/stats?userId=76
2026-08-03T13:27:54.913Z - GET /api/achievement?userId=76
2026-08-03T13:28:02.140Z - GET /api/words/daily?limit=60&progressive=1
2026-08-03T13:28:09.583Z - POST /api/word/status/unknown
2026-08-03T13:28:10.025Z - GET /api/words/wrong?limit=1
2026-08-03T13:28:10.329Z - GET /api/achievement?userId=76
2026-08-03T13:28:10.349Z - GET /api/settings?userId=76
2026-08-03T13:28:20.453Z - POST /api/word/status/known
2026-08-03T13:28:20.609Z - GET /api/words/wrong?limit=1
2026-08-03T13:28:21.188Z - GET /api/achievement?userId=76
2026-08-03T13:28:21.216Z - GET /api/settings?userId=76
2026-08-03T13:28:26.483Z - POST /api/user/stats/study-time
2026-08-03T13:28:27.265Z - GET /api/achievement?userId=76
2026-08-03T13:28:27.278Z - GET /api/settings?userId=76
2026-08-03T13:28:27.799Z - POST /api/word/status/known
2026-08-03T13:28:27.985Z - GET /api/words/wrong?limit=1
2026-08-03T13:28:28.594Z - GET /api/settings?userId=76
2026-08-03T13:28:28.611Z - GET /api/achievement?userId=76
2026-08-03T13:28:31.730Z - POST /api/word/status/known
2026-08-03T13:28:31.890Z - GET /api/words/wrong?limit=1
2026-08-03T13:28:32.499Z - GET /api/settings?userId=76
2026-08-03T13:28:32.517Z - GET /api/achievement?userId=76
